上映日期,中文片名,累計銷售金額,喜歡,不喜歡,預告觀看次數,類別
2018-07-27,她們的故事,"288,923",220,7,15349,劇情
2018-07-27,血琥珀,"124,270",146,5,13079,紀錄
2018-07-27,冥房,"118,750",91,13,10454,劇情、驚悚
2018-07-27,喜歡你愛上你逃離你,"862,401",196,14,20999,劇情
2018-07-27,超能救援,"684,744",335,39,50715,驚悚、科幻
2018-07-27,我的抓狂(女)友,"198,943",130,8,24001,喜劇
2018-07-25,不可能的任務：全面瓦解,"447,486,435",2696,57,294790,驚悚、動作
2018-07-20,鬼入夢,"1,833,453",35,3,33814,驚悚、推理
2018-07-20,一袋彈珠,"773,155",170,1,10849,劇情
2018-07-20,把哥哥退貨可以嗎,"9,180,250",1291,25,188058,劇情、愛情
2018-07-20,鬼嫁娘,"493,195",189,9,25380,驚悚、推理
2018-07-20,坂道上的阿波羅,"614,782",143,5,13867,歌舞、劇情、愛情
2018-07-20,母親的告白,"181,660",45,2,12729,懸疑、劇情、驚悚
2018-07-20,鬼太鼓座,"166,729",25,1,5355,紀錄
2018-07-20,阿寶動物一族,"46,465",104,13,35043,愛情、喜劇
2018-07-20,震撼真相,"969,609",30,1,17655,劇情、驚悚
2018-07-20,願望咖啡館,"2,071,602",173,8,15680,劇情
2018-07-20,霧中的女孩,"608,712",32,1,20813,驚悚、推理
2018-07-20,揭密風暴,"137,420",112,4,10823,劇情
2018-07-20,神佈局,"4,035,874",330,126,146272,科幻、動作
2018-07-20,孤狼之血,"531,678",175,8,28039,劇情、犯罪
2018-07-19,尖叫旅社3:怪獸假期,"68,682,970",1986,105,444314,奇幻、冒險
2018-07-13,簡單的婚禮,"224,910",93,43,12561,愛情、喜劇
2018-07-13,命帶追逐（2018數位修復版）,"669,676",144,6,9226,劇情、驚悚、喜劇、動作
2018-07-13,高年級姐妹會,"3,981,727",38,2,191564,劇情、愛情
2018-07-13,決戰賽末點,"185,320",235,10,56173,體育、劇情
2018-07-13,坂本龍一:async紐約現場,"164,448",111,0,8051,音樂、紀錄
2018-07-13,坂本龍一：終章,"2,179,029",989,13,65752,音樂、紀錄
2018-07-13,小偷家族,"14,433,772",206,7,110474,劇情、犯罪
2018-07-13,友罪,"1,304,969",139,5,238485,劇情、懸疑
2018-07-13,永劫,"101,765",60,5,24527,恐怖
2018-07-13,媽媽的人生食譜,"81,935",0,0,473,劇情、家庭
2018-07-12,摩天大樓,"187,916,572",725,43,664163,劇情、驚悚
2018-07-12,切小金家的旅館,"19,771,591",1776,90,233402,恐怖、喜劇
2018-07-07,K SEVEN STORIES Episode1「R：B～BLAZE～」,"449,013",285,4,18948,動畫
2018-07-06,勾魂200小時,"20,690",169,22,21588,恐怖
2018-07-06,他媽的完美女友,"294,385",142,9,42285,劇情
2018-07-06,教宗與他的12件收藏,"270,590",141,8,9268,紀錄
2018-07-06,名偵探柯南:零的執行人,"91,815,154",4594,99,545901,推理、懸疑、動畫
2018-07-06,愛，留在海灘那一天,"780,791",61,2,26162,劇情、愛情
2018-07-06,妙探事務所,"364,720",34,4,17419,推理、喜劇
2018-07-06,殺人回憶,"289,910",26,0,18052,犯罪、懸疑
2018-07-04,蟻人與黃蜂女,"297,167,619",4042,195,740119,科幻、動作、冒險
2018-07-02,電影哆啦A夢:大雄的金銀島,"10,285,419",1015,93,214765,動畫、冒險
2017-07-28,花戰,"1,838,124",43,4,15650,劇情
2017-07-28,謝謝你，在世界的角落找到我,"9,092,392",34,1,262810,動畫、劇情
2017-07-28,一一,"4,993,677",539,54,78994,家庭、愛情、劇情
2017-07-28,極凍之城,"16,134,893",643,26,163701,動作、冒險
2017-07-28,報告老師！怪怪怪怪物！,"41,839,767",802,116,321084,冒險、驚悚、奇幻、恐怖
2017-07-28,魅惑,"2,997,189",217,8,59996,劇情、驚悚
2017-07-28,芭蕾奇緣,"3,333,070",484,14,83278,冒險、動畫
2017-07-24,青梅竹馬(數位修復版),"1,396,032",181,4,29700,劇情
2017-07-21,慾亂唇迷,"422,255",128,5,36482,愛情
2017-07-21,悟空傳,"13,298,963",653,331,587201,奇幻、動作
2017-07-21,模犯生,"147,943,802",4625,204,1348694,校園、犯罪
2017-07-20,敦克爾克大行動,"113,575,145",786,48,767059,驚悚、戰爭
2017-07-20,女狼嗨到趴,"11,709,553",60,10,109005,喜劇
2017-07-15,銀魂,"11,109,014",1370,95,270943,喜劇、動作、冒險
2017-07-14,盜速飛車,"14,263,390",24,4,263207,動作、驚悚
2017-07-14,名偵探柯南：唐紅的戀歌,"70,363,276",2631,82,566025,推理、懸疑、動畫
2017-07-14,名叫海賊的男人,"1,314,345",8,1,237098,劇情
2017-07-13,猩球崛起：終極決戰,"161,369,568",236,10,686751,科幻、驚悚、動作
2017-07-10,你找什麼？,"18,830",37,0,8213,紀錄
2017-07-07,29+1,"467,995",230,25,133291,劇情
2017-07-05,蜘蛛人：返校日(數位IMAX2D版),"295,264,979",3178,128,982262,動作、冒險